collegeCode,collegeName,latitude,longitude,geocodingStatus
E314,Cauvery College of Engineering,12.3051828,76.6553609,partial
E313,Harsha Institute of Technology,13.1976048,77.7074856,partial
E312,New Ebenezer Institute of Technology,13.0887365,77.6548471,success
E311,Rathinam Institute of Technology,12.6439249,77.1650105,partial
E310,Government Engineering College,12.8948535,76.1605758,success
E309,Government Engineering College,13.4109883,78.0539956,success
E307,Seshadripuram Institute of Technology,12.3051828,76.6553609,partial
E306,The Chanakya University,13.1976048,77.7074856,partial
E305,Dr. H.N. National College of Engineering,12.9767936,77.590082,partial
E304,Anuvartik Mirji Bharatesh Institute of Technology,15.8572666,74.5069343,partial
E303,GM University,14.4679807,75.9195682,partial
E302,Amity University,13.2776015,77.616056,partial
E301,Kishkinda University,15.1430224,76.9173277,partial
E300,Akash Institute of Engineering and Technology,13.1976048,77.7074856,partial
E299,Ghousia Institute of Technology for Women,12.9657679,77.6038627,success
E297,Aditya College of Engineering and Technology,12.9767936,77.590082,partial
E292,Government Engineerinering College,17.9149369,77.4880494,partial
E291,Government Engineering College,15.7220381,75.3846247,partial
E290,Visvesvaraya Technological University,12.3051828,76.6553609,partial
E289,Visvesvaraya Technological University,17.3310003,76.8334228,partial
E288,Garden City University,13.0254484,77.7067558,partial
E287,Vidyashilp University,13.2016981,77.6008128,partial
E286,BGS College of Engineering & Technology,12.9767936,77.590082,partial
E285,RV University,12.9233711,77.499694,partial
E284,Sri Jayachamarajendra College of Engineering,12.3152626,76.6119107,partial
E283,University of Mysore,12.3059327,76.6403692,partial
E281,Government Engineering College,14.2306761,76.3891503,success
E279,Visvesvaraya Technological University,15.7773016,74.4648624,partial
E278,Visvesvaraya Technological University,13.1976048,77.7074856,partial
E275,R V Institute Of Technology and Management,12.9066501,77.5947961,success
E274,Government Engineering College,12.8948535,76.1605758,success
E273,Government Engineering College,15.3484144,76.1547421,partial
E272,Government Engineering College,14.8326181,74.1348508,success
E269,Jain College Of Engineering and Research,15.8572666,74.5069343,partial
E265,Jain College of Engineering and Technology,15.3518378,75.1379848,partial
E264,Basav Engineering School of Technology,16.8269061,75.6539194,success
E258,Maharaja Institute of Technology,12.3664154,76.6891755,partial
E257,CMR University,13.1186268,77.6600369,partial
E255,GITAM (Deemed to be University) Bengaluru Campus,13.1976048,77.7074856,partial
E254,A J Institute Of Engineering And Technology,12.8698101,74.8430082,partial
E252,Mysore College Of Engineering and Management,12.3051828,76.6553609,partial
E241,KLE Technological University,15.3690067,75.1236571,partial
E240,Dayananda Sagar University,12.65954,77.4507652,partial
E239,East West College Of Engineering,13.0957491,77.5901143,partial
E238,Mysuru Royal Institute Of Technology,12.5238888,76.8961961,partial
E237,Presidency University,12.9655881,77.6036377,partial
E235,M. S. Ramaiah University of Applied Sciences,13.0184274,77.5079729,partial
E232,REVA University,13.1154027,77.6357699,partial
E227,Cauvery Institute of Technology,12.5238888,76.8961961,partial
E222,Cambridge Institute of Technology,13.007516,77.695935,success
E221,Biluru Gurubasava Mahaswamiji Institute of Technology,16.3338591,75.2870794,partial
E220,Alliance University,12.7297587,77.7087603,partial
E216,Shetty Institute of Technology,17.3310003,76.8334228,partial
E213,Lingarajappa Engineering College,17.9149369,77.4880494,partial
E212,Dayananda Sagar Academy of Technology & Management,12.8228206,77.5138097,success
E211,Jain Institute of Technology,14.4679807,75.9195682,partial
E210,G Madegowda Institute of Technology,,,failed
E209,Jyothi Institute of Technology,12.8408707,77.511726,partial
E207,V S M`s Somashekhar R Kothiwale Institute of Technology,,,failed
E206,Shri Madhwa Vadiraja Institute of Technology and Management,,,failed
E205,ATME College of Engineering,12.3038443,76.7114295,partial
E204,Bangalore Technological Institute,12.88572,77.6997556,partial
E203,K S School of Engineering & Management,12.9767936,77.590082,partial
E202,Sampoorna Group of Institutions,12.9767936,77.590082,partial
E201,Gopalan College of Engineering & Management,12.9767936,77.590082,partial
E199,AGM Rural Engineering College,15.2077105,75.1387568,partial
E198,Sharanbasava University,17.3310003,76.8334228,partial
E197,Veerappa Nisty Engineering College,16.52301,76.75957,partial
E196,Jain College of Engineering,15.8593476,74.6142405,partial
E194,Government Engineering College,,,failed
E193,Srinivas University,13.0221142,74.7936759,success
E192,NULL,18.9569275,72.8290998,success
E191,Akshaya Institute of Technology,13.3400771,77.1006208,partial
E189,NAVKIS COLLEGE OF ENGINEERING,13.0070817,76.0992703,partial
E188,Vijaya Vittala Institute of Technology,13.0770956,77.6659607,partial
E186,ACS College of Engineering,12.8910127,77.4654614,partial
E185,Angadi Institute of Technology and Management,15.8454658,74.4840995,success
E184,C Byre Gowda Institute of Technology,13.123993,78.1329276,partial
E181,Sri Basaveswara Institute of Technology,13.258575,76.4737675,partial
E180,Beary's Institute of Technology,12.8698101,74.8430082,partial
E178,The National Institute of Engineering(NORTH CAMPUS),12.3051828,76.6553609,partial
E177,Rajeev Institute of Technology,12.9902344,76.1152288,partial
E176,Navodaya Institute of Technology,16.1983225,77.3527444,partial
